job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,salary,skills,Cleaned_Salary,Cleaned_Revenue,Seniority_Binary,skills_parsed,work_type
data scientist,senior,hybrid,company_003,"Grapevine, TX . Hybrid",17 days ago,"Bentonville, AR, US",Retail,Public,€352.44B,Public,"€100,472 - €200,938","['spark', 'r', 'python', 'scala', 'machine learning', 'tensorflow']",150705.0,,senior,machine learning | python | r | scala | spark | tensorflow,hybrid
data scientist,lead,hybrid,company_005,"Fort Worth, TX . Hybrid",15 days ago,"Detroit, MI, US",Manufacturing,Public,"155,030",€51.10B,"€118,733","['spark', 'r', 'python', 'sql', 'machine learning']",118733.0,51.1,senior,machine learning | python | r | spark | sql,hybrid
data scientist,senior,on-site,company_007,"Austin, TX . Toronto, Ontario, Canada . Kirkland, WA . Orlando, FL . Edmonton, Alberta, Canada + 1 More",a month ago,"Redwood City, CA, US",Technology,Public,"25,930",€33.80B,"€94,987 - €159,559","['aws', 'git', 'python', 'docker', 'sql', 'machine learning', 'gcp', 'kubernetes', 'deep learning']",127273.0,33.8,senior,aws | deep learning | docker | gcp | git | kubernetes | machine learning | python | sql,onsite
data scientist,senior,hybrid,company_008,"Chicago, IL . Scottsdale, AZ . Austin, TX . Hybrid",8 days ago,"San Jose, CA, US",Technology,Public,"34,690",€81.71B,"€112,797 - €194,402","['sql', 'r', 'python']",153599.5,81.71,senior,python | r | sql,hybrid
data scientist,,on-site,company_009,On-site,3 days ago,"Stamford, CT, US",Finance,Private,"1,800",Private,"€114,172 - €228,337",[],171254.5,,,,onsite
machine learning engineer,senior,on-site,company_015,"Menlo Park, CA",9 days ago,"Menlo Park, CA, US",Technology,Public,900,Public,"€121,480 - €132,440",['machine learning'],126960.0,,senior,machine learning,onsite
data scientist,senior,remote,company_019,Fully Remote,6 days ago,"Boston, MA, US",Technology,Private,126,Private,"€207,331",[],207331.0,,senior,,remote
data scientist,senior,on-site,company_021,On-site,a day ago,"San Francisco, CA, US",Technology,Public,"5,520",€61.06B,"€219,201",[],219201.0,61.06,senior,,onsite
data scientist,senior,remote,company_029,"Minneapolis, MN . Fully Remote",8 days ago,"Golden Valley, MN, US",Manufacturing,Public,"21,030",€43.18B,"€99,464 - €165,954","['sql', 'machine learning', 'python']",132709.0,43.18,senior,machine learning | python | sql,remote
data scientist,senior,on-site,company_031,"Titusville, NJ . Titusville, New Jersey, United States",19 days ago,"New Brunswick, NJ, US",Healthcare,Public,"128,890",€413.02B,"€112,343 - €117,823","['sql', 'machine learning', 'r', 'python']",115083.0,413.02,senior,machine learning | python | r | sql,onsite
